DOI/PMID,Lien,Titre de l’étude,Date de publication,Auteurs,financement,Type d’étude,Cohorte,Temps d’exposition,type d’exposition,Puissance d’exposition,Distance de l’émetteur,sham/réel en continu,émetteur visible,individualisation de l’exposition,évaluation psychiatrique préalable,Objectivation des symptômes,évaluation de l’environnement du sujet,Conclusion
DOI: 10.1111/j.1600-0536.1982.tb04129.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0536.1982.tb04129.x,Facial rash in visual display unit operators,1982,Avrid Nilsen,,,,,,,,,,,,,,
PMID: 2563608,https://www.ncbi.nlm.nih.gov/pubmed/2563608,Skin problems from visual display units. Provocation of skin symptoms under experimental conditions.,1989,Swanbeck G. \ Bleeker T.,,,,,,,,,,,,,,
PMID: 1386626,https://www.ncbi.nlm.nih.gov/pubmed/1386626,Techno-stress. A psychophysiological study of employees with VDU-associated skin complaints,1992,Berg M. \  Arnetz B \ Lidén S. \ Eneroth P. \ Kallner A.,,,,,,,,,,,,,,
,,Double-blind provocation study of hypersensitivity reactions associated with exposure from VDUs,1993,Hamnerius Y. \  Agrup G. \ Galt S. \ Nilsson R. \ Sandblom J.\ Lindgren R.,,,,,,,,,,,,,,
,,Experiences of provocations with electric and magnetic fields,1993,Sandström M. \ Stenberg B. \ Hansson-Mild K.,,,,,,,,,,,,,,
,,Provocation attempt with individuals hypersensitive to elec-tricity. Effects of information about the presence of electric and magnetic-fields.,1993,Hellbom M.,,,,,,,,,,,,,,
,,Electromagnetic field provocations of subjects with ’electric hypersensitivity.,1994,Wennberg A. \ Franzén O. \ Paulsson L-E.,,,,,,,,,,,,,,
PMID: 8033543 ,https://www.ncbi.nlm.nih.gov/pubmed/8033543,Skin symptoms and disease during work with visual display terminals,1994,Bergqvist U. \ Wahlberg JE.,,,,,,,,,,,,,,
DOI : 10.1111/j.1600-0668.1995.t01-3-00005.x,https://doi.org/10.1111/j.1600-0668.1995.t01-3-00005.x,Skin Symptoms among VDT Workers and Electromagnetic Fields ‐ a Case Referent Study,1995,Monica Sandström \ Kjell Hansson Mild \ Berndt Stenberg \ Stig Wall,,,,,,,,,,,,,,
,,Study of provoked hypersensitivity reactions from a VDU,1995,Sjöberg P. \ Hamnerius Y.,,,,,,,,,,,,,,
PMID: 8571089 ,https://www.ncbi.nlm.nih.gov/pubmed/8571089,Skin symptoms after the reduction of electric-fields from visual display units,1995,Oftedal G. \ Vistnes AI. \ Rygge K.,,,,,,,,,,,,,,
,,Hypersensitivity to electricity and sensitivity to mobile phones. Results from a double-blind provocation study of methodological character,1995,Johansson O.,,,,,,,,,,,,,,
PMID: 8863199 ,https://www.ncbi.nlm.nih.gov/pubmed/8863199,"A  cognitive-behavioral treatment  of  patients  suffering  from  'electric hypersensitivity':Subjective effects and reactions in a double-blind  provocation  study."" ",1996,B. Andersson \ M. Berg B. \ Arnetz L. \ Melin I. \ Langlet \ S. Lidén.,,,,,,,,,,,,,,
PMID: 9000314,https://www.ncbi.nlm.nih.gov/pubmed/9000314,Provocation of the electromagnetic distress syndrome,1997,Toomingas A.,,,,,,,,,,,,,,
,,"Electric fields, dust and health problems among VDU-users in an office environment",1998,Knut Skyberg \ Knut Skulberg \ Wijnand Eduard,,,,,,,,,,,,,,
PMID: 9820691,https://www.ncbi.nlm.nih.gov/pubmed/9820691,"Effects of an ELF (50 Hz, 1 mT) electromagnetic field (EMF) on concentration in visual attention, perception and memory including effects of EMF sensitivity",1998,Trimmel M. \ Schweiger,,,,,,,,,,,,,,
PMID: 10569461,https://www.ncbi.nlm.nih.gov/pubmed/10569461,Long-term effects on symptoms byreducing electric fields from visual display units.,1999,Oftedal G. \ Nyvang A. \ Moen BE,,,,,,,,,,,,,,
PMID: 10817373,https://www.ncbi.nlm.nih.gov/pubmed/10817373,Provocation of electric hypersensitivity under everyday conditions ,2000,Flodin U. \ A. Seneby \ C. Tegenfeldt. ,,,,,,,,,,,,,,
PMID: 10824304,https://www.ncbi.nlm.nih.gov/pubmed/10824304,"Provocation with stress and electricity of patients with ""sensitivity to electricity""",2000,Lonne-Rahm S. \ Andersson B. \ Melin L. \ Schultzberg M. \ Arnetz B. \ Berg M.,,,,,,,,oui,oui,oui,non,,non,
PMID: 11793403,https://www.ncbi.nlm.nih.gov/pubmed/11793403,Project NEMESIS: double-blind study on effects of 50Hz EMF on sleep quality and physiological parameters in people suffering from electrical hypersensitivity,2000,Mueller Ch H. \ Krueger H. \ Schierz Ch.,,,,,,,,,,,,,,
PMID: 11568930,https://www.ncbi.nlm.nih.gov/pubmed/11568930,Provocation study of persons with perceived electrical hypersensitivity and controls using magnetic field exposure and recording of electrophysiological characteristics.,2001,Lyskov E. \ Sandström M \ Mild KH.,,,,,,,,,,,,,,
PMID: 11793403 ,https://www.ncbi.nlm.nih.gov/pubmed/11793403,Project NEMESIS: perception of a 50 Hz electric and magnetic field at low intensities,2002,Mueller CH. \ Krueger H. \ Schierz C.,,,,,,,,,,,,,,
DOI: 10.1289/ehp.7561,https://ehp.niehs.nih.gov/doi/10.1289/ehp.7561,Microwaves from GSM mobile telephones affect 53BP1 and gamma-H2AX foci in human lymphocytes from hypersensitive and healthy persons,2005,Markovà E. \  Hillert L. \ Malmgren L. \ Persson BR. \ Belyaev IY.,,,,,,,,,,,,,,
DOI: 10.1136/bmj.38765.519850.55,https://www.bmj.com/content/332/7546/886,Are some people sensitive to mobile phone signals? Within participants double blind randomised provocation study.,2006,Rubin GJ. \ Hahn G. \ Everitt BS. \ Cleare AJ. \ Wessely S.,,,,,,,,,,,,,,
DOI: 10.1289/ehp.10286,https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1289%2Fehp.10286,Does  short-term  exposure  to  mobile  phone base  station  signals increase  symptoms  in  individuals  who  report  sensitivity  to  electromagnetic  fields?  A  double-blind Randomized  provocation  study,2007,D. Wallace \ A. Ridgewell \ K. Zougkou \ R. Russo \ F. Sepulveda \ D. Mirshekar-Syahkal \ P. Rasor \ R. Deeble \ E. Fox,,,,,,,,,,,,,,
DOI: 10.1111/j.1468-2982.2007.01336.x,https://journals.sagepub.com/doi/10.1111/j.1468-2982.2007.01336.x,"Mobile phone headache: a double blind, sham-controlled provocation study",2007,Oftedal G. \ Straume A. \ Johnsson A. \ Stovner LJ.,,,,,,,,,,,,,,
DOI: 10.1097/PSY.0b013e31816521f1,https://www.ncbi.nlm.nih.gov/pubmed/?term=10.1097%2FPSY.0b013e31816521f1,Exposure  to  mobile  phone  electromagnetic fields and subjective   symptoms:   A   double-blind study,2008,R. Russo \ A. Boldini \ E. Fox. ,,,,,,,,,,,,,,
DOI: 10.1002/bem.20375,https://onlinelibrary.wiley.com/doi/abs/10.1002/bem.20375,Perception of the electromagnetic field emitted by a mobile phone,2008,Kwon MS. \ Koivisto M \ Laine M \ Hämäläinen H.,,,,,,,,,,,,,,
DOI: 10.1002/bem.20518,https://onlinelibrary.wiley.com/doi/abs/10.1002/bem.20518,Hypersensitivity to RF fields emitted from CDMA cellular phones: a provocation study,2009,Nam KC. \ Lee JH. \ Noh HW. \ Cha EJ. \ Kim NH. \ Kim DW.,,,,,,,,,,,,,,
DOI: 10.1136/oem.2010.055889,https://oem.bmj.com/content/68/5/339,Can exposure to a terrestrial trunked radio (TETRA)-like signal cause symptoms? A randomised double-blind provocation study.,2010,Nieto-Hernandez R. \ Williams J \ Cleare AJ \ Landau S. \ Wessely S. \ Rubin GJ.,,,,,,,,,,,,,,
DOI: 10.1002/bem.20681,https://onlinelibrary.wiley.com/doi/abs/10.1002/bem.20681,Cognitive and physiological responses in humans exposed to a TETRA base station signal in relation to perceived electromagnetic hypersensitivity.,2012,Wallace D. \ Eltiti S. \ Ridgewell A. \ Garner K. \ Russo R. \ Sepulveda F. \ Walker S. \ Quinlan T. \ Dudley S. \ Maung S. \ Deeble R. \ Fox E.,,,,,,,,,,,,,,
DOI: 10.1016/j.envint.2016.11.031,https://www.ncbi.nlm.nih.gov/pubmed/27939951,Effects of personalised exposure on self-rated electromagnetic hypersensitivity and sensibility - A double-blind randomised controlled trial.,2017,,ZonMW,Provocation,42,<15 min,GSM 900 (925-960 MHz)  GSM 1800 (1805-1880 MHz) DECT (1880-1900MHz) UMTS  (2110-2170MHz) WIFI (2400-2500MHz)      ELF (50Hz),"0,2 V/m et 0,2 µT en moyenne (pouvant être adapté au sujet)",,,,,,,,
PMID: 8667796,https://www.ncbi.nlm.nih.gov/pubmed/8667796,"Successful treatment of ""electricity hypersensitivity"". The patient was assisted in curing himself",1996,Lakartidningen,,,,,,,,,,,,,,
